Questions	OptionA	OptionB	OptionC	OptionD	OptionE	Answer	Source
She hadn't eaten all day, and by the time she got home she was ______.	blighted	confutative	ravenous	ostentatious	blissful	Ravenous	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The movie offended many of the parents of its younger viewers byincluding unnecessary ______ in the dialogue.	vulgarity	verbosity	vocalizations	garishness	tonality	Vulgarity	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
His neighbors found his ______ manner bossy and irritating, andthey stopped inviting him to backyard barbeques.	insentient	magisterial	reparatory	restorative	modest	Magisterial	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Steven is always ______ about showing up for work because hefeels that tardiness is a sign of irresponsibility.	legible	tolerable	punctual	literal	belligerent	Punctual	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Candace would ______ her little sister into an argument by teasingher and calling her names.	advocate	provoke	perforate	lamente	expunge	provoke	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The dress Ariel wore ______ with small, glassy beads, creating a shimmering effect.	titillated	reiterated	scintillated	enthralled	striated	scintillate	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Being able to afford this luxury car will ______ getting a better-paying job.	maximize	recombinant	reiterate	necessitate	reciprocate	necessitate	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Levina unknowingly ______ the thief by holding open the elevatordoors and ensuring his escape.	coerced	proclaimed	abetted	sanctioned	solicited	abet	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Shakespeare, a(n) ______ writer, entertained audiences by writingmany tragic and comic plays.	numeric	obstinate	dutiful	prolific	generic	Prolific	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
I had the ______ experience of sitting next to an over-talkativepassenger on my flight home from Brussels.	satisfactory	commendable	galling	acceptable	acute	Galling	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Prince Phillip had to choose: marry the woman he loved and ______ his right to the throne, or marry Lady fiona and inherit the crown.	reprimand	upbraid	abdicate	winnow	extol	abdicate	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
If you will not do your work of your own ______, I have no choicebut to penalize you if it is not done on time.	predilection	coercion	excursion	volition	infusion	Volition	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
After sitting in the sink for several days, the dirty, food-encrusteddishes became ______.	malodorous	prevalent	imposing	perforated	emphatic	Malodorous	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Giulia soon discovered the source of the ______ smell in the room:a week-old tuna sandwich that one of the children had hidden inthe closet.	quaint	fastidious	clandestine	laconic	fetid	Fetid	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
After making ______ remarks to the President, the reporter wasnot invited to return to the White House pressroom.	hospitable	itinerant	enterprising	chivalrous	irreverent	Irreverent	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
With her ______ eyesight, Krystyna spotted a trio of deer on thehillside and she reduced the speed of her car.	inferior	keen	impressionable	ductile	conspiratorial	Keen	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
With a(n) ______ grin, the boy quickly slipped the candy into hispocket without his mother's knowledge.	jaundiced	nefarious	stereotypical	sentimental	impartial	Nefarious	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Her ______ display of tears at work did not impress her new boss,who felt she should try to control her emotions.	maudlin	meritorious	precarious	plausible	schematic	Maudlin	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Johan argued, "If you know about a crime but don't report it, you are ______ in that crime because you allowed it to happen."	acquitted	steadfast	tenuous	complicit	nullified	Complicit	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The authorities, fearing a ______ of their power, called for amilitary state in the hopes of restoring order.	subversion	premonition	predilection	infusion	inversion	Subversion	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The story's bitter antagonist felt such great ______ for all of the othercharacters that as a result, his life was very lonely and he died alone.	insurgence	malevolence	reciprocation	declamation	preference	Malevolence	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
It is difficult to believe that charging 20% on an outstanding creditcard balance isn't ______!	bankruptcy	usury	novice	kleptomania	flagrancy	Usury	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The ______ weather patterns of the tropical island meant touristshad to carry both umbrellas and sunglasses.	impertinent	supplicant	preeminent	illustrative	kaleidoscopic	Kaleidoscopic	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Wedding ceremonies often include the exchange of ______ ringsto symbolize the couple's promises to each other.	hirsute	acrimonious	plaintive	deciduous	votive	Votive	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Kym was ______ in choosing her friends, so her parties wereattended by vastly different and sometimes bizarre personalities.	indispensable	indiscriminate	commensurate	propulsive	indisputable	Indiscriminate	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Phillip's ______ tone endeared him to his comical friends, butirritated his serious father.	aloof	jesting	grave	earnest	conservative	Jesting	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Brian's pale Irish skin was ______ to burn if he spent too muchtime in the sun.	prone	urbane	eminent	erect	daunted	Prone	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
A fan of historical fiction, Joline is now reading a novel aboutslavery in the ______ South.	decorous	rogue	droll	antebellum	onerous	Antebellum	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Over the years the Wilsons slowly ______ upon the Jacksons'property, moving the stone markers that divided their lots fartherand farther onto the Jacksons' land.	encroached	jettisoned	conjoined	repudiated	teemed	encroach	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Mary became ______ at typing because she practiced every day forsix months.	proficient	reflective	dormant	redundant	valiant	Proficient	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
To find out what her husband bought for her birthday, Susanattempted to ______ his family members about his recent shoppingexcursions.	prescribe	probe	alienate	converge	revere	probe	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Juan's friends found him in a ______ mood after he learned hewould be homecoming king.	jovial	stealthy	paltry	gullible	depleted	Jovial	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
His suit of armor made the knight ______ to his enemy's attack,and he was able to escape safely to his castle.	vulnerable	churlish	invulnerable	static	imprudent	Invulnerable	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Choosing a small, fuel-efficient car is a ______ purchase for arecent college graduate.	corrupt	tedious	unhallowed	sardonic	judicious	Judicious	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Such a ______ violation of school policy should be punished bynothing less than expulsion.	copious	flagrant	raucous	nominal	morose	Flagrant	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
With all of the recent negative events in her life, she felt ______ forces must be at work.	resurgent	premature	malignant	punctilious	antecedent	Malignant	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The ______ rumors did a great deal of damage even though theyturned out to be false.	bemused	prosaic	apocryphal	ebullient	tantamount	Apocryphal	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
When her schoolwork got to be too much, Pam had a tendency to______, which always put her further behind.	dedicate	rejuvenate	ponder	excel	procrastinate	procrastinate	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Racha's glance was a ______ invitation to speak later in privateabout events of the meeting.	trecherous	scintillating	tactful	tacit	taboo	Tacit	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
She reached the ______ of her career with her fourth novel, whichwon the Pulitzer Prize.	harbinger	apogee	metamorphosis	dictum	synthesis	Apogee	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The ______ townspeople celebrated the soldier's return to hishome by adorning trees with yellow ribbons and balloons.	somber	jubilant	pitiless	cunning	unsullied	Jubilant	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The governor-elect was hounded by a group of ______ lobbyistsand others hoping to gain favor with her administration.	facetious	abstruse	magnanimous	fawning	saccharine	Fawning	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The mock graduation ceremony-with a trained skunk posing asthe college president-was a complete ______ that offended manycollege officials.	tempest	epitome	quintessence	travesty	recitative	Travesty	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The busy, ______ fabric of the clown's tie matched his oversizedjacket, which was equally atrocious.	mottled	bleak	credible	malleable	communicable	Mottled	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Kendrick's talent ______ under the tutelage of Anya Kowalonek,who as a young woman had been the most accomplished pianist inher native Lithuania.	bantered	touted	flourished	embellished	colluded	flourish	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The children were ______ by the seemingly nonsensical clues untilKinan pointed out that the messages were in code.	censured	striated	feigned	prevaricated	flummoxed	flummox	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
As the ______ in Romeo and Juliet, Romeo is a hero able tocapture the audience's sympathy by continually professing his lovefor Juliet.	protagonist	enigma	facade	activist	catechist	protagonist	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The chess master promised to ______ havoc upon his opponent'spawns for taking his bishop.	wreak	warrant	ensue	placate	endow	wreak	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
I have always admired Seymour's ______; I've never seen himrattled by anything.	aplomb	confluence	propriety	compunction	nostalgia	Aplomb	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The soldiers received a military ______ to inspect all their vehiclesbefore traveling.	allotment	dominion	affectation	calculation	mandate	Mandate	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
As ______ beings we live each day conscious of our shortcomingsand victories.	sensational	sentient	sentimental	static	senile	Sentient	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The curious crowd gathered to watch the irate customer ______ about the poor service he received in the restaurant.	antiquate	trivialize	rant	placate	fetter	rant	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The man's ______ driving resulted in a four-car pile-up on thefreeway.	burdensome	charismatic	exceptional	boastful	negligent	Negligent	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Ron didn't know the rules of rugby, but he could tell by thecrowd's reaction that it was a critical ______ in the game.	acclamation	conviction	juncture	enigma	revelation	Juncture	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
My ancestor who lost his life in the Revolutionary War was a______ for American independence.	knave	reactionary	compatriot	nonconformist	martyr	martyr	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
